snapshot_date,section_name,smart_code_chain_name,suggested_master_chain_name,review_status
2026-03-14,空港施設,ANA DUTY FREE SHOP,,needs_review
2026-03-14,空港施設,ANA FESTA,,needs_review
2026-03-14,宿泊施設,ANAクラウンプラザホテル富山,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,A－プライス,,needs_review
2026-03-14,グルメ,Bettie64,,needs_review
2026-03-14,百貨店・モール,C one,,needs_review
2026-03-14,グルメ,CAFE&BAKERY MIYABI,,needs_review
2026-03-14,グルメ,CoCo壱番屋,,needs_review
2026-03-14,服飾,DIFFERENCE,,needs_review
2026-03-14,ドラッグストア・薬局,Fit Care DEPOT,,needs_review
2026-03-14,ドラッグストア・薬局,Fit Care Express,,needs_review
2026-03-14,ドラッグストア・薬局,Fit Care MART,,needs_review
2026-03-14,ドラッグストア・薬局,HAC,,needs_review
2026-03-14,服飾,KENFORD,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,KINSHO／Harves,,needs_review
2026-03-14,百貨店・モール,KiKi京橋,,needs_review
2026-03-14,服飾,P.S.FA,,needs_review
2026-03-14,百貨店・モール,PRALIVA（プラリバ）,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,Qマート,,needs_review
2026-03-14,服飾,REGAL,,needs_review
2026-03-14,服飾,REGAL SHOE & co.,,needs_review
2026-03-14,服飾,REGAL SHOES,,needs_review
2026-03-14,服飾,REGAL TOKYO,,needs_review
2026-03-14,服飾,SHETLAND FOX,,needs_review
2026-03-14,レジャー・アミューズメント,SMALL WORLDS TOKYO,,needs_review
2026-03-14,服飾,SUIT SELECT,,needs_review
2026-03-14,服飾,SUIT SQUARE,,needs_review
2026-03-14,百貨店・モール,ShinQsビューティパレット,,needs_review
2026-03-14,グルメ,TEXMEX FACTORY,,needs_review
2026-03-14,グルメ,TGI FRIDAYS,,needs_review
2026-03-14,グルメ,THE 3RD CAFE by Standard Coffee,,needs_review
2026-03-14,本,TSUTAYA,,needs_review
2026-03-14,本,TSUTAYA BOOKSTORE,,needs_review
2026-03-14,服飾,UNIVERSAL LANGUAGE,,needs_review
2026-03-14,服飾,UNIVERSAL LANGUAGE MEASURE'S,,needs_review
2026-03-14,ドラッグストア・薬局,V・ｄｒｕｇ,,needs_review
2026-03-14,グルメ,WANG'S GARDEN,,needs_review
2026-03-14,ドラッグストア・薬局,musée de peau,,needs_review
2026-03-14,グルメ,いきなりステーキ,,needs_review
2026-03-14,グルメ,おかげ庵,,needs_review
2026-03-14,グルメ,おたる亭すすきの店,,needs_review
2026-03-14,グルメ,おたる亭本店,,needs_review
2026-03-14,グルメ,おたる別亭,,needs_review
2026-03-14,百貨店・モール,くずはモール,,needs_review
2026-03-14,グルメ,くら寿司,,needs_review
2026-03-14,グルメ,ぐ～,,needs_review
2026-03-14,グルメ,こだわりとんかつ かつき亭,,needs_review
2026-03-14,グルメ,こだわりのれん街,,needs_review
2026-03-14,グルメ,さかなや道場,,needs_review
2026-03-14,グルメ,しゃぶ葉,,needs_review
2026-03-14,グルメ,しゃぶ食べ,,needs_review
2026-03-14,グルメ,すしざむらい,,needs_review
2026-03-14,グルメ,すしの和,,needs_review
2026-03-14,グルメ,すし日和,,needs_review
2026-03-14,その他サービス,てもみん,,needs_review
2026-03-14,ドラッグストア・薬局,とをしや薬局,,needs_review
2026-03-14,グルメ,なかなか,,needs_review
2026-03-14,百貨店・モール,ならファミリー専門店街zoro,,needs_review
2026-03-14,百貨店・モール,なんばCITY,,needs_review
2026-03-14,百貨店・モール,なんばパークス,,needs_review
2026-03-14,グルメ,はなの舞,,needs_review
2026-03-14,服飾,はるやま,,needs_review
2026-03-14,その他ショッピング,ひごペットフレンドリー,,needs_review
2026-03-14,ドラッグストア・薬局,ふく薬品,,needs_review
2026-03-14,レジャー・アミューズメント,まねきねこ,,needs_review
2026-03-14,グルメ,やまなか家,,needs_review
2026-03-14,ドラッグストア・薬局,よどや,,needs_review
2026-03-14,グルメ,らーめん日高,,needs_review
2026-03-14,ドラッグストア・薬局,アイセイ薬局グループ,,needs_review
2026-03-14,ドラッグストア・薬局,アインズ&トルペ,,needs_review
2026-03-14,その他ショッピング,アストロプロダクツ,,needs_review
2026-03-14,百貨店・モール,アスピア明石,,needs_review
2026-03-14,レジャー・アミューズメント,アドベンチャーワールド,,needs_review
2026-03-14,ドラッグストア・薬局,アルカドラッグ,,needs_review
2026-03-14,その他ショッピング,イエローハット,,needs_review
2026-03-14,その他ショッピング,イシグロ,,needs_review
2026-03-14,百貨店・モール,イトーヨーカ堂／アリオ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,イトーヨーカ堂／イトーヨーカドー,,needs_review
2026-03-14,百貨店・モール,イトーヨーカ堂／グランツリー,,needs_review
2026-03-14,百貨店・モール,イトーヨーカ堂／プライムツリー,,needs_review
2026-03-14,グルメ,イトーヨーカ堂／ポッポ,,needs_review
2026-03-14,グルメ,ウェンディーズ・ファーストキッチン,,needs_review
2026-03-14,ドラッグストア・薬局,ウエルシア薬局,,needs_review
2026-03-14,家電,エディオン,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,オーケー,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,オータニ,,needs_review
2026-03-14,その他ショッピング,オートバックス,,needs_review
2026-03-14,その他ショッピング,カクヤス,,needs_review
2026-03-14,ドラッグストア・薬局,カワチ薬品,,needs_review
2026-03-14,グルメ,ガスト,,needs_review
2026-03-14,グルメ,キタノイチバ,,needs_review
2026-03-14,百貨店・モール,キラリナ京王吉祥寺,,needs_review
2026-03-14,グルメ,キリンビアファーム,,needs_review
2026-03-14,ドラッグストア・薬局,キリン堂,,needs_review
2026-03-14,グルメ,クルーズクルーズ,,needs_review
2026-03-14,百貨店・モール,グランベリーパーク,,needs_review
2026-03-14,その他サービス,グローバル治療院,,needs_review
2026-03-14,グルメ,ケンタッキーフライドチキン,,needs_review
2026-03-14,家電,ケーズデンキ,,needs_review
2026-03-14,ドラッグストア・薬局,コクミン,,needs_review
2026-03-14,ドラッグストア・薬局,コスメティクスアンドメディカル,,needs_review
2026-03-14,服飾,コナカ,,needs_review
2026-03-14,グルメ,コメダ珈琲店,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,コメリ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,コーナン,,needs_review
2026-03-14,ドラッグストア・薬局,サツドラ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,サンプラザ,,needs_review
2026-03-14,グルメ,ザ・ニッカバー,,needs_review
2026-03-14,グルメ,シェーキーズ,,needs_review
2026-03-14,グルメ,シカゴピザ,,needs_review
2026-03-14,グルメ,シズラー,,needs_review
2026-03-14,グルメ,シージャック,,needs_review
2026-03-14,その他ショッピング,ジャパン,,needs_review
2026-03-14,レジャー・アミューズメント,ジャンカラ,,needs_review
2026-03-14,百貨店・モール,ジョイナス,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ジョイフルエーケー,,needs_review
2026-03-14,グルメ,ジョナサン,,needs_review
2026-03-14,家電,ジョーシン,,needs_review
2026-03-14,ドラッグストア・薬局,スギドラッグ,,needs_review
2026-03-14,ドラッグストア・薬局,スギヤマ薬品,,needs_review
2026-03-14,ドラッグストア・薬局,スギ薬局,,needs_review
2026-03-14,グルメ,スシロー,,needs_review
2026-03-14,グルメ,スタンダードコーヒー,,needs_review
2026-03-14,グルメ,ステーキガスト,,needs_review
2026-03-14,グルメ,ステーキ屋松,,needs_review
2026-03-14,グルメ,スプリングバレーブルワリー,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,スーパーアルプス,,needs_review
2026-03-14,ドラッグストア・薬局,スーパードラッグ ひまわり,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,スーパーマーケットバロー,,needs_review
2026-03-14,コンビニエンスストア,セブン-イレブン,,needs_review
2026-03-14,グルメ,セブン＆アイフードシステムズ／デニーズ,,needs_review
2026-03-14,その他ショッピング,セリア,,needs_review
2026-03-14,百貨店・モール,ダイナシティ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ダイユーエイト,,needs_review
2026-03-14,ドラッグストア・薬局,ダックス,,needs_review
2026-03-14,その他ショッピング,デコホーム,,needs_review
2026-03-14,その他ショッピング,トイザらス,,needs_review
2026-03-14,百貨店・モール,トリエ京王調布,,needs_review
2026-03-14,グルメ,ドワ,,needs_review
2026-03-14,コンビニエンスストア,ナチュラルローソン,,needs_review
2026-03-14,その他ショッピング,ナップス,,needs_review
2026-03-14,百貨店・モール,ニッケコルトンプラザ,,needs_review
2026-03-14,その他ショッピング,ニトリ,,needs_review
2026-03-14,その他ショッピング,ニトリホームズ,,needs_review
2026-03-14,グルメ,ハイデイ日高,,needs_review
2026-03-14,ドラッグストア・薬局,ハッピードラッグ,,needs_review
2026-03-14,グルメ,バリヤス酒場,,needs_review
2026-03-14,グルメ,バーミヤン,,needs_review
2026-03-14,グルメ,パスタ・デ・ココ,,needs_review
2026-03-14,グルメ,パークショップ,,needs_review
2026-03-14,コンビニエンスストア,ファミリーマート,,needs_review
2026-03-14,グルメ,ファーストキッチン,,needs_review
2026-03-14,レジャー・アミューズメント,ファーム富田,,needs_review
2026-03-14,服飾,フォーエル,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,フクハラ,,needs_review
2026-03-14,服飾,フタタ,,needs_review
2026-03-14,グルメ,フライングガーデン,,needs_review
2026-03-14,百貨店・モール,フレンテ笹塚,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,フーズマーケットホック,,needs_review
2026-03-14,グルメ,プリン本舗すすきの店,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ベストホーム,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ベストム,,needs_review
2026-03-14,グルメ,ベニーレベニーレ,,needs_review
2026-03-14,その他ショッピング,ベビーザらス,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ベルジョイス,,needs_review
2026-03-14,その他ショッピング,ペットフォレスト,,needs_review
2026-03-14,その他ショッピング,ペットワールドアミーゴ,,needs_review
2026-03-14,宿泊施設,ホテルα-1 グループ,,needs_review
2026-03-14,宿泊施設,ホテルニューオータニ大阪,,needs_review
2026-03-14,グルメ,ホルモン食堂 食樂,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ホームセンターバロー,,needs_review
2026-03-14,コンビニエンスストア,ポプラ,,needs_review
2026-03-14,グルメ,マイカリー食堂,,needs_review
2026-03-14,グルメ,マリンポリス,,needs_review
2026-03-14,ドラッグストア・薬局,マルエ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,マルマンストア,,needs_review
2026-03-14,グルメ,ミライザカ,,needs_review
2026-03-14,百貨店・モール,ミント神戸,,needs_review
2026-03-14,服飾,メガネフラワー,,needs_review
2026-03-14,服飾,メガネ本舗,,needs_review
2026-03-14,百貨店・モール,モアーズシティ横須賀,,needs_review
2026-03-14,グルメ,モダンタイムス,,needs_review
2026-03-14,グルメ,モディッシュ,,needs_review
2026-03-14,百貨店・モール,モレラ岐阜,,needs_review
2026-03-14,家電,ヤマダデンキ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ユニバース,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ヨークベニマル,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／コンフォートマーケット,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークフーズ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークプライス,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークマート,,needs_review
2026-03-14,百貨店・モール,ラグーナフェスティバルマーケット,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ラッキー,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ラルズ,,needs_review
2026-03-14,宿泊施設,リッチモンドホテル,,needs_review
2026-03-14,その他サービス,リブマックス /リブマックスリーシング,,needs_review
2026-03-14,服飾,リーガルファクトリーストア,,needs_review
2026-03-14,百貨店・モール,ル・トロワ,,needs_review
2026-03-14,グルメ,レストラン 花の木,,needs_review
2026-03-14,グルメ,レストランビアポート,,needs_review
2026-03-14,グルメ,ロイヤルガーデンカフェ,,needs_review
2026-03-14,グルメ,ロイヤルホスト,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,ロイヤルホームセンター,,needs_review
2026-03-14,コンビニエンスストア,ローソンストア100,,needs_review
2026-03-14,その他ショッピング,万SAI堂,,needs_review
2026-03-14,グルメ,三代目鳥メロ,,needs_review
2026-03-14,その他ショッピング,上州屋,,needs_review
2026-03-14,グルメ,中華一番,,needs_review
2026-03-14,グルメ,串カツ田中,,needs_review
2026-03-14,グルメ,丸亀製麺,,needs_review
2026-03-14,本,丸善ジュンク堂書店／ジュンク堂書店,,needs_review
2026-03-14,本,丸善ジュンク堂書店／丸善,,needs_review
2026-03-14,百貨店・モール,二子玉川ライズショッピングセンター,,needs_review
2026-03-14,百貨店・モール,京急百貨店,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,京浜さえき,,needs_review
2026-03-14,百貨店・モール,京王モール & 京王モールアネックス,,needs_review
2026-03-14,百貨店・モール,京王多摩センターSC,,needs_review
2026-03-14,百貨店・モール,京王聖蹟桜ヶ丘SC,,needs_review
2026-03-14,百貨店・モール,京都ファミリー 専門店,,needs_review
2026-03-14,百貨店・モール,京阪シティモール,,needs_review
2026-03-14,百貨店・モール,京阪モール,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,伊藤チェーン,,needs_review
2026-03-14,グルメ,元祖寿司,,needs_review
2026-03-14,空港施設,函館空港,,needs_review
2026-03-14,グルメ,北海道ジンギスカン蝦夷屋,,needs_review
2026-03-14,グルメ,千年の宴,,needs_review
2026-03-14,その他ショッピング,千疋屋総本店,,needs_review
2026-03-14,グルメ,地球人,,needs_review
2026-03-14,宿泊施設,城山観光ホテル,,needs_review
2026-03-14,グルメ,夢庵,,needs_review
2026-03-14,グルメ,大庄水産,,needs_review
2026-03-14,ドラッグストア・薬局,大賀薬局,,needs_review
2026-03-14,グルメ,天丼てんや,,needs_review
2026-03-14,その他ショッピング,好日山荘,,needs_review
2026-03-14,グルメ,山内農場,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,山梨さえき（おかじま）,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,山梨さえき（セルバ）,,needs_review
2026-03-14,百貨店・モール,岸和田カンカンベイサイドモール,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,島忠ホームズ,,needs_review
2026-03-14,グルメ,庄や,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,成城石井,,needs_review
2026-03-14,グルメ,掌,,needs_review
2026-03-14,グルメ,文化食堂,,needs_review
2026-03-14,空港施設,新千歳空港,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,新鮮食材キャッシュ＆キャリー昭和,,needs_review
2026-03-14,グルメ,日の出本舗,,needs_review
2026-03-14,百貨店・モール,日吉東急アベニュー,,needs_review
2026-03-14,グルメ,日高屋,,needs_review
2026-03-14,グルメ,星のなる木,,needs_review
2026-03-14,グルメ,月の宴,,needs_review
2026-03-14,グルメ,月夜のたぬき,,needs_review
2026-03-14,本,有隣堂,,needs_review
2026-03-14,ドラッグストア・薬局,杏林堂薬局/杏林堂スーパードラッグストア,,needs_review
2026-03-14,グルメ,来来軒,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,東京さえき,,needs_review
2026-03-14,レジャー・アミューズメント,東京タワー,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,東光ストア,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,東急ストア,,needs_review
2026-03-14,百貨店・モール,東急フードショー,,needs_review
2026-03-14,百貨店・モール,東急フードショースライス,,needs_review
2026-03-14,百貨店・モール,東急百貨店,,needs_review
2026-03-14,百貨店・モール,東武百貨店,,needs_review
2026-03-14,グルメ,松のや,,needs_review
2026-03-14,服飾,洋服の青山,,needs_review
2026-03-14,グルメ,海都,,needs_review
2026-03-14,百貨店・モール,渋谷ヒカリエShinQs,,needs_review
2026-03-14,グルメ,濱焼北海道魚萬,,needs_review
2026-03-14,グルメ,焼肉の和民,,needs_review
2026-03-14,グルメ,焼鳥日高,,needs_review
2026-03-14,グルメ,牛たん徳茂,,needs_review
2026-03-14,グルメ,牛たん炭火焼き 利久,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,生活協同組合コープかごしま,,needs_review
2026-03-14,コンビニエンスストア,生活彩家,,needs_review
2026-03-14,百貨店・モール,町田東急ツインズ,,needs_review
2026-03-14,グルメ,白木屋,,needs_review
2026-03-14,グルメ,目利きの銀次,,needs_review
2026-03-14,服飾,眼鏡市場,,needs_review
2026-03-14,グルメ,福福屋,,needs_review
2026-03-14,その他ショッピング,秀岳荘,,needs_review
2026-03-14,グルメ,笑笑,,needs_review
2026-03-14,空港施設,羽田空港,,needs_review
2026-03-14,その他サービス,茨城交通,,needs_review
2026-03-14,本,蔦屋書店,,needs_review
2026-03-14,ドラッグストア・薬局,薬王堂,,needs_review
2026-03-14,服飾,西松屋,,needs_review
2026-03-14,その他サービス,証明写真機 Ｋｉ－Ｒｅ－ｉ,,needs_review
2026-03-14,グルメ,豊丸水産,,needs_review
2026-03-14,グルメ,豊後高田どり酒場,,needs_review
2026-03-14,グルメ,軍鶏農場,,needs_review
2026-03-14,百貨店・モール,近鉄百貨店,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,道北アークス,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,道南ラルズ,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,道東アークス,,needs_review
2026-03-14,その他ショッピング,酒ゃビック,,needs_review
2026-03-14,ドラッグストア・薬局,金光薬品,,needs_review
2026-03-14,グルメ,銀座ルノアール,,needs_review
2026-03-14,グルメ,銀政,,needs_review
2026-03-14,空港施設,長崎空港,,needs_review
2026-03-14,グルメ,風,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,食鮮館タイヨー,,needs_review
2026-03-14,グルメ,餃子の王将,,needs_review
2026-03-14,グルメ,魚民,,needs_review
2026-03-14,グルメ,魚鮮水産,,needs_review
2026-03-14,グルメ,鳥永 すすきの総本店,,needs_review
2026-03-14,グルメ,鶏のGeorge,,needs_review
2026-03-14,グルメ,黒の50,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,（株）西條,,needs_review
2026-03-14,その他ショッピング,Ｎプラス,,needs_review
